id,review_description,Toxicity
96,تطبيق سئ 1-الاسعار اغلي بكثير من اسعار المطاعم بنسبة تتعدي ال25% وهذا كثير جدا برغم اخد سعر التوصيل يعني لو طلبت من المطعم هيبقي افضل 2-الكوبونات غير حقيقية بنسبة 95% 3-التوصيل بطئ جدا 4-خدنة العملاء أسوأ شئ في التطبيق,-1
97,والله حرام عليكم كدة طلب اودرار مارت عبارة عن فرخه وزن 1000/1100والاخر بعتولى دبابيس الدجاج متباله وريحتها وحشى جدا ومنتهى الصلاحيه وكلمت خدمه العملاء بيقولى أن الاوردار وصلى صح ومفيش فى اى مشكله قولتلها طيب ابعت خد الاوردار تانى وشوف انت الصح اللى فى بيقولى هو دة اللى مواضح امامى وانت اللبس الاوردار بجد حسبى الله ونعم الوكيل فيكم على مهزله اللى بتحصل دى والله والله الاوردار وصلى غلط ومش عارف اثبتلهم ازى وبعتلهم الصور الاوردار مش معترفين بيها,-1
98,تطبيق بطيء ولايعمل,-1
99,التطبيق جيد جدا بس بقاله فتره بيتأخر فى وقت التوصيل,1
100,مافيش إشارة برسالة الطيار ياريت وده شيء سيئ جدًا 👎,-1
101,بقي سئ جدا جدا .كنت بتعامل مع الاب من سنين . وكان كويس بس حاليا بقيتوا بالحرف وحشييين جدا وكل شويه كود خصم بيجي فين وفين . وحتي لما يستخدمه تبعتوا اي حجه عشان الخصم ميشتغلش واضطر اطلب من غير الخصم . انا مسحت الاب واي حد قولتله ينزله هنصحه انه يمسحه بردو .خساره كنتوا كويسيين جدا فالاول بس للاسف تقريبا مفيش حاجه بتفضل علي حالها . اسوا تجربه مريت بيها سواء في قله الذوق او غيره ومنصحش حد انه يستخدمه,-1
102,سيئ وكل ماله يصير اسوئ وتوصيل غير منتظم وأنصحكم تحطون الدفع كاش عشان اذا تاخر الطلب كنسلو لان حقكم بيضيع والابلكيشن ما يعطيكم اي تعويض,-1
103,تاعغههطكغع,1
104,تم الغاء طلبي بدون اي اشعار,-1
105,"صار استغلال رسمي، اسعار توصيل عالية، وغير عن هيك بزيد عسعر الوجبة الاصلي للاسفة اصبح سيئ جدا",-1
107,تجربه فاشله جدا جدا ما بحلو المشكله و كل مره المطعم و الكابتن بغلطو نفس الغلط و ما بتخلص الهمجيه عندهم بدهم يطعمو الناس على كيفهو شي بخزي,-1
108,جميل,1
109,التطبيق للأسف اصبح سيء 💔 واسعارهم اعلى من اسعار المحلات مع زيادة الضريبة ورسوم الخدمة ع الفاتورة,-1
110,سئ,-1
111,😂هههههههههههههههههههه ه ههههههههههههههههههه,1
113,برنامج تافه وسيء,-1
114,ممكن اعرف موضوع ال 30درهم,1
115,.تطبيق فاشل بكل معنى الكلمة يأتيني اشعار لقسيمة ثم افتح طلبات أجدها غير موجودة!! ويوجد مشاكل في الطلب من تأخر في الوقت و و ...... بعد التجربة لا أنصح بتحميله,-1
116,لماذا لا يقبل التثبيت,-1
117,طلبات,1
118,سيئ جدآ تم خصم من البطاقه 100 دينار ولم استلم شيئ,-1
119,تطبيق على كيفه يلغي الطلبات. صاير فاشل👎👎👎,-1
121,الموظفين لايردو على استفسارات,-1
122,انا كنت بدفع بفيزا ميزه بنك الاهلي عادي بعد التحديث لا يمكن الدفع بكارت الميزه حاليا كان كل التعامل بكارت عادي مفيش مشكله,-1
123,خرا,-1
124,افضل برنامج توصل,1
125,اسعار غاليه ولا انصح به,-1
126,"سيء جدا، لايتم الرد على الشكوى الابوقت متأخر جدا، كان البرنامج قبل أفضل الآن التفاعل عن الزبون والاهتمام إليه وشكواه لم تعد اولويه عند مشغلي البرنامج.",-1
127,شكرا إلكم,1
128,👌👌 برفكت,1
129,افشل ديليفري في حايل,-1
130,خائب لا يضم مطاعم مهمة وأسعار مرتفعة,-1
131,التطبيق جميل جدا وأحيانا يعطي كوبونات خصم,1
133,لايوجد مصداقيه واسعار مبالغ فيها وتاخير وطلب غير نظيف والفلوس ياخذونها واذا صار مشكله لاترجع والدليل الغاء خدمة الاتصال الهاتفيه اذا عندك مشكله يردون عليك بالمحادثه وطريقت الوصول لها معقده واخر شي الموظف يقول اتصل علي المطعم ومايرد وانا اتصل علي المطعم يرد علي اخر شي يقول نرجع لك المبلغ كاش ١٢.٤٠٠ من تاريخ ٢٨ / ٨ الي اليوم لم يتواصل معي احد واراسلهم علي الايميل يرسلون نفس الرساله متأسفين وسوف نحل المشكله وبالنهايه خذووو الفلوس والاكل غير نظيف والخدمه سيئه والدليل كل التعليقات تقول نفس هالكلام,-1
134,عطيت فلوس باقي يرجع ماعطاني سرقه,-1
136,نصبين وبستغلو الكباتن,-1
137,افضل شركة,1
138,اسوء ابلكيشن علي الإطلاق ولو البرنامج والقائمين عليه عندهم الجراءه يكلموني يكلموني بس مفيش نصاب بيرد علي الفريسه بعد ما ينصب عليها,-1
142,برنامج سئ للغايه طلبت اوردر توصيل مجاني اتفاجأت ان ضايف ٣٦ جنيه توصيل وطلبت طلبات من طلبات مارت جابلي الاوردر مختلف خالص ومش بيلغو الاوردر رغم انه الغلط من عندهم,-1
144,كيف يمكن استرداد القسائم المنتهية,1
145,للأسف تم تحميل البرنامج لأول مره وتم طلب اول مواد وتم إحضار المواد على الوقت ولكن للأسف غير الجوده العاديه وتم اطعامها للعصافير حيث قام احد المندوبين بالتواصل معي وعن وجود أي ملاحظات...وقمت بأخباره عن سوء جودة المنتج ..وكان جوابه فقط الاعتذار...لذلك لم يتم نجاح التطبيق في السعودية قبل عشر سنوات وفشل فشل ذريع عكس تطبيق جاهز خلال سنتين كان رقم واحد في السعودية من حيث التعامل وجودة المنتج والمصداقية.. وخدمة ما بعد البيع..,-1
147,برنامج فاشل جدددددا,-1
152,مافيه الا مطعم واحد والله تطبيق نكته ..,-1
153,سي جدا تم دن افضل,-1
154,خانة الخصومات غير موجودة اجدها احيانا وغالبا غائبا ويقولون ان عندي كوبونات لكن الخانة مختفية ارجو اصلاح هذه المشكلة,-1
155,تمام,1
156,مبلغ التوصيل معادل مبلغ الاوردر ازاي,-1
157,الاسعار مبالغ بها,-1
158,افضل تطبيق بالعالم دام الدون سوا اعلان,1
159,استغلال رفع الاسعار اكثر من بره,-1
160,افضل تطبيق,1
161,مخادعين ضحكو على الدرايفر بالسياره حسبي الله فيكم,-1
162,الأبلكيشن موصلني بدليفري أوردر تاني خالص ومتأخر عن المعاد ساعة ونص.,-1
163,التوصيل جدا غالي الضريبه الاضافيه على المبلغ بالاضافه الى ان الاصناف اغلى من سعرها للاسف تجربه سيئه,-1
164,في البداية كان تطبيق رائعا حيث كان التوصيل مجاني و سريع ايضا لكن الآن أصبح بطيئا و التوصيل ليس مجاني و المندوبين الشباب يتحرشون بل فتياة البيت عند الاتصال نعم ارجو ان تراقبو المندوبين الذين ترسلونهم إلى بيوت العالم,-1
165,عدم احترام وقت توصيل الطلب وبعد الوقت المقدر لتوصيل الطعام 40 دقيقه وبعد انتهاء الوقت تفاجئنا بتمديد الوقت الى ساعتين وعند التواصل معاهم عن طريق الدردشه ماأخذنا منهم غير الكلام الحلو الي لابقدم ولا بأخر المشكله ... هذا ثاني مره اتعرض لنفس المشكله معاهم ولا في حل للشكوى وعندما طلبت التواصل مع الاداره افادوا بأنهم سيتواصلون بعد 60 دقيقه معاي ... الظاهر مشغولين من كثرة الشكاوي هههههه,-1
166,تطبيق مزعج بكثرة اعلاناته الغبية في كل مكان,-1
167,زباااله,-1
168,تطبيق روعه شكرا طلبات,1
169,سييييييييء,-1
170,صاير تطبيق فاشل,-1
171,تعرضت للكثير من النقص بالطلبات و اغلب الوقت يتم الغاء الطلبات لعدم تمكن التطبيق من الالتزام بالمصداقية مع العملاء,-1
172,"اسوء تجربة مع هذا التطبيق، لعدم وجود مصداقية في الالتزام بالوقت، حيث يقوم التطبيق ببيان الوقت المحدد لتوصيل التطلب، وبعد اتمام عملية الطلب يتم مضاعفة وقت التوصيل. ان عدم الالتزام بالوقت، وتضييع وقت المتعامل مع التطبيق لهو من اسوء الامور التي تجعل مستخدم التطبيق لا يثق بتاتاً به.",-1
174,زفت,-1
175,افضل برنامج لتوصيل الطعام في العراق من كل النواحي,1
176,طلبات كريستيانو رونالدو كذب😂👎💔,-1
177,Sincerity of Fatima Zahra,1
178,هين قرشك ولا تهين نفسك...ياليت تلغو الخدمه تبع الاستلام لان التعامل سئ جداً مع المطاعم لما تجي تستلم طلبك.. يعاملك كانك خادم عند ابوه..وعلى أيش على 300 بيسه توفير. (افضلي اطلب مباشرة من المطعم).,-1
179,مرتب,1
180,سيء جدا جدا لايوصل إلى جمي الأماكن في الدولة اتمنا حل المشكلة,-1
181,تطبيق سيىئ جدا تأخير بشكل كبير اسعار غاليه جدا بعملك التوصيل مجاني او بسعر رمزي وبكون رافع سعر الوجبات بشكل مش طبيعي,-1
182,تطبيق زبالة تم طلب وخصم المبلغ في الاخير تم الغاء الطلب من قبل المطعم بدون سبب واضح ولم يسترد المبلغ للان 👎👎👎👎👎👎,-1
183,التطبيق والخدمة أصبحت سيئة جدا للأسف,-1
184,زفت يا نصابين,-1
185,غير مناسب,-1
186,برنامج ظالم ونصاب,1
187,التطبيق سي ولا يعمل,-1
188,غير متوفر في جميع المتاجر,-1
190,ممناز,1
191,تطبيق فاااااشل مادييين وغشاشين وواستغلالييين الطلب اصلا زايدين ع سعرو وبتاخدو رسوظ خدمه وضريبه مبيعات وتوصيل ول عليكم جوعانين انتو وهي رح اشطب التطبيق لاني بطلت استفيد منو,-1
192,من سيئ لاسوء طلبي ٢.٥٠ بصير ٤ دنانير ليس رسوم خدمة ورسوم ضريبة ورسوم توصيل !!!!!!,-1
193,ليه غيرتو اللغه شايفنا اجانب,-1
194,ضض١ص٣ضصصصشك,1
195,سيتم حذفه حتى اعطاء الشباب حقوقهم,-1
196,ممتاز جدا وبشكركم عل هتمام,1
197,تطبيق سيئ,-1
199,غير صادقين مع السائقين,-1
214,هنجر ستيشن افضل من وجهة نظري .,-1
216,تجربة سيئة جدا لا انصح به بشده لايحترم الزبائن ولا الموظفين,-1
217,اسوء ططبيق,-1
218,بخزي🤮 طلبات🤮,-1
219,خايس,-1
221,شركة سيئة بعد ما وعدت سائقيها بتملك السيارة بعد ثلاث سنوات ولم تفي بوعدها ونفت ذلك شركة استغلاليه و يتم خصم ثمن الطلب اكثر من المطلوب,-1
222,تضامنا مع السائقين اللي نصبو عليهم الشركة الهاملة,-1
223,حرام عليكم تضحكو على الشباب وتستغلو قدراتهم ومجهودهم وبالاخر تقولو الهم مالكو اشي لاكن عند الله مابروح حق,-1
224,طلبات وصلولي طلب بالغلط وطلب قديم كانه معموله من ٣ ايام ولما اتصلت على خدمة العملاء قلت لهم هذا ليس طلبي قالوا مانقدر نسويلك شي تواصل على لايف شات ولايف شات متوقف.. يحطون العميل بمتاهات وتروح عليه فلوسه وهذا اللي حصل معي جاري حذف التطبيق,-1
225,سيئ جدا,-1
226,لا استطيع تحميل التطبيق.. أحاول أن أحمل التطبيق من أيام لكن من دون اي جدوى,1
227,برنامج ممتاز ومفيد,1
228,شركة نصابة لا تستحق الاحترام .............................................................................................................................................................................,-1
229,سئ جدا ولا يتم محاسبة الكباتن بشكل عادل,-1
231,سيء جدا لانكم نصابين رجعو حقوق الموظفين #مقاطعة_تطبيق_طلبات,-1
232,لم تلتزم الشركة بإعطاء العمال السيارة بعد ٣ سنوات كما وعدتهم سابقا,-1
233,سيئ جدا لانو بعد فترة قامو بحظري,-1
234,تطبيق فاشل وبكل مقاييس المهنه,-1
235,زباله,-1
236,تطبيق سيئ جدا ...واسعار وعروض مخادعه,-1
237,سيئ جدا والكباتن مظلومة مع هيك تطبيق,-1
238,تطبيق فاشل وغير ملتزم في قوانين وزارة التجاره من حيث تسعيرة التوصيل وتلاعب في الاسعار بالاتفاق مع المطاعم واذا اخطئو بالطلب يضيع حقك وفلوسك وعدم اهتمام بالزبائن والموضفين القائمين علي الدعم والمساعده بالتطبيق يسعون الا افشال التطبيق بحجج واهيه وغير مقنعه وتظيع المبالغ وعدم المساعدة في ارجاعها او مطالبة المطعم في اكمال الناقص من الطعام انصح بعدم تحميل التطبيق ولي ضمان وصول طلبك كامل وساخن اطلب من المطعم مباشره,-1
243,نصب واحتيال,-1
245,كله كذب بكذب,-1
247,غير مناسب اسعار اغلى عن المعروض,-1
248,"كتير حلو التطبيق ، بس ما في قسام كل تلات سنين تعطوني وحده ؟",1
249,سيئ وكان في اغراض ناقصه ما قدرنا نتواصل معهم,-1
250,لا انصح بتحميل البرنامج,-1
252,فخميين,1
253,حتى نجمة ما بستاهل بضحكو على بالتوصيل المجاني وبزيدو الضرائب وغير هيك بسحبو من الفيزا بدون ما يتأكد الطلب 🙂,-1
254,للاسف الربح المادي يبدو أنه المتحكم الوحيد بالشركات... ومن باب أولى كسب الموظفين,-1
255,تطبيق زبااااالة ونصابين,-1
256,شركة نصابة,-1
932,انتو بقيتو زفت كدا لية مش عارفين تحلولى مشكلة ابلكيشن بقى زفت وياريت لو اقل من نجمه كنتو خدتوها,-1
933,تطبيق سئ جدا ومعظم مندوبين التوصيل قلالة الادب واخر واحد فيهم بيزعقلي ويقولي مش شغلتى اطلع الاوردر انزل خده مني ..ويقولي روح اشتكيني.. انصح باستخدام تطبيق المينيوز كبديل مصرى محترم واللي شغالين فيه محترمين مش زي بتوع طلبات,-1
934,مفيد جدا,1
936,جميييييل,1
1944,ياخي احذفوا تكرار هذا الاعلان. كل مرة يطلع لنا.. ما ينفع ابدا كذا,1
1947,التطبيق روععععععععة ينصح ألكسلان إلي يسوي نفسة مريض مشان ميايروح يتسوق 🤣🤣🤣🤣,1
1948,عملت الغاء لطلب بالفيزا الغي الطلب ولم يتم استرجاع المبلغ للفيزا يعني حراميه,-1
1949,لسه هجرب,1
1953,من جميع النواحي ما شاء الله تطبيق رائع جداً سعر🔝 مدة توصيل🔝 جودة توصيل🔝 خصومات🔝,1
1954,رائع جدا ويخدم بسهوله,1
1955,كنت اعمل هيك بس ما بخصم بس انتهت القسيمة بدون ما اقدر اشتري منها ليش هيك,-1
1956,جميل وسهل وسريع التوصيل وآمن ويعرض خصومات رائعه,1
1958,افضل وأروع تطبيق علي الاطلاق من جميع النواحي مثل وقت التوصيل والعروض والخصومات وتعامل الموضفين والله روعه وايضا من ناحيه القسائم روعه ماشاء الله ومن ناحيه الاجوبه عن الاسئله متوفر لجميع اي سوال ويستحق جائزه افضل تطبيق على وجه الأرض ويمكن ان اذا تخربط المطعم في طلبك وطلبت منهم تعويض يعوضك مباشر في المبلغ الذي دفعته ويمكنك شراء اي شي تريده من طعام وسكاكر ومستلزمات المطابخ يعني ماشاء الله اقسم لكم ياجماعه اني احبو هاذا التطبيق بشكل غير طبيعي واتمني ان تهدونني قسيمه لاني تعبتو وانا اكتب وبتوفيق لكم,1
1960,جميل و رائع❤️❤️,1
1995,يوجد عنصريه طبقيه في البرنامج ده منطقتي لا يوجد توصيل طلبات ليه أخرج بره المنطقه يوجود والمسافه كليو مترا واحد,-1
1998,تطبيق زباله حطيت كود خصم 50 ريال عساس يخصم بس وصلني مندوب ماك قلي مافي كود خصم ودفعت المبلغ كامل ولا كانه انخصم شيء,-1
1999,تطبيق معفن,-1
2000,خياس,-1
2001,جميل جدا في كل الاوقات,1
2002,كمية بطئ التطبيق غير طبيعية ودائما يعلق,-1
2004,تطبيق مميز جدآ,1
2005,في البداية كان التطبيق كويس ولكن الآن أصبح سئ جدا اغلب المطاعم مشغولة وزيادة في الأسعار غير سعر التوصيل ضريبة القيمة المضافة وغير أن الأسعار غير الموجودة بمنيو المطعم أساسا,-1
2017,بجد تطبيق زباله مش عارفه اتعامل معاه خالص وهمسحه مش ظاهر غير مؤسسات خيريه فقط,-1
2018,اول مرة اوصي من عدهم كانت في شلة ناقصه إلهي التاكيس مشيتها ابعت للعامل ما يرد وبعد مليون سنة يرد مشيتها بس تجبلي الاشياء وانا قدامك بدي أخذهم وهو مشغول في التليفون لا والله ما بمشيها,-1
2019,والله كل تطبيقات التوصيل انتهت خلاص,-1
2022,تطبيق سيء جدا,-1
2023,سيء لانه المواد اسعارها مرتفعه ولايوجد جميع المنتجات مثل محلات السجائر مفقوده لانه سعرها مكشوف أما وقت التوصيل جيد ارجو توفير جميع المواد وتعديل الاسعار,-1
2024,تطبيق رائع جددددددآ,1
2025,نتبيثعابيياتتبسانغقصثفغثسسششبنفسشصغخثشس,1
2026,طلبات دا افضل تطبيق,1
2027,اسواء تطبيق في تاريخ (وخاصة خدمة عملاء كول سنتر في مصر ) موضف عادي مستعد يكذب عليك ويضحك عليك مقابل تعطيه ٥ نجوم تجربة فاشلة لم يتأخر عليك طلب تتواصل مع خدمة العملاء تخيل موضف بحكيلك طيب يا افندم طلبك في طريق خلال ٥ دقيق راح يكون عندك وبكون لسه طلب مش واصل المطعم او بكون في خلل في تطبيق الفاشل..لعنه الله عليكم من تطبيق شغل كذب وضحك على العميل,-1
2028,سائق بأخر طلب على كيفه ووقتك بروح انتظار,-1
2029,زى الزفت طلبت اوردر تكلفته 293 وماجاش وإكلمهم يقولوا وصل كلمت السائق يقول وصلتوه العنوان اللى انت كاتبه وصلتوه لمين يقول العنوان طيب مين اللى خدوه معرفش ازى هو مش ليا اسم ورقم تليفون فى الابلكيشن ولا هو نصب وخلاص وسرقة كمان لأن رجعو الفلوس رصيد طلبات ومش راضي يطلب اوردرات تانى تم الطلب والطلب وصل مع سائق اخر والغريب أنه جه لحد البيت عن طريق الموقع بتاع البرنامج منغير مغير العنوان يبقى المشكله من السائق وليس الموقع,1
2030,برنامج زفت حط انو وصل الطلب لاكن ما وصل وتواصلت مع المساعده علفاضي,-1
2031,رائع بكل معنى الكلمة 🤍🤍,1
2033,باختار الخصم مش بيحمل وتقيل جدا,-1
2041,فاشل ومادي ومايوصلون بسرعه الا اذا الطلب كاش,-1
2042,لا يوجد عروض لمدينه معان في الاردن بينما العروض تشمل باقي المدن!,1
2043,تطبيق خبيث القائمين عليه شحاتين ومرضى نفسيين يعني إيه كل ما يعجبني مطعم وأطلب منه مرتين أجي بعدين أكرر أي طلب من نفس المطعم يقوم التطبيق الحثاله يقول لك خدمة المطعم ده غير متاحة جرب مطاعم اخرى أنا دلوقتي عاوز أفطر والمطعم اللي طلبت منه جنب البيت فول وفلافل ابوطه رافض ينفذ أي أوردر من نفس المطعم ويقول لك جرب مطاعم اخرى القائمين على التطبيق ده ناس حثاله متخلفين ليه تجبرني كل شوي اغير المطعم وانت مال أهلك انت كده كده بتاخد مني رسم التوصيل عامة أنا هحذف التطبيق من جوالي وجوال مراتي وعيالي,-1
2044,تفووووو ع هيك تطبيق غالي وخرا زيكم انقلعووووووووووووووََ,-1
2046,عدم المصداقية فاشل,-1
2047,تطبيق افشل من الفاشل ... استهزاء بالزبون اخذ مبالغ زياده دون وجه حق ... توقيت فاشل فوق الوقت المقرر ... بعد الساعه ١٢ ليلا الطلب ملغي دون تبليغ بذلك,-1
2048,الطلبات بتيجك مختلفه,-1
2049,بجننننن🙂❤❤❤❤❤,1
2050,جدا جدا جميل و تعامل الموظفين جدا محترم,1
2051,كثير كويس,1
2053,سى جدا... رمز خصم القسائم لا يعمل,-1
2054,شكرا على التعويض عند التأخير بلطلب🤗,1
2055,سيءجدا الطلب غلط زيادة بالسعر تحطوا ١٧٥٠ندفع ٤دنانير ليش كل مايفتح التطبيق بتحول انجليزي عبرونا شوي حولنا عربي خلص لازم يثبت عربي,-1
2056,خورافي عرضاتكم قليله جدا,1
2057,لماذا لم أتمكن من استخدام القسيمه,-1
2058,رائع جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا في حلو بس مو الحين بعد ما اخلص مايجيب ارجو تحسينه,1
2059,الخدمه سيئة,-1
9959,واوووو سراحه,1
9961,ولا يسوي نجمه,-1
9962,التطبيق كاذب في موضوع الخصومات ومفيش خصم ولا اي حاجه,-1
9963,الخدمه سيأه,-1
